@relation training_data_sample_1000-weka.filters.unsupervised.attribute.Remove-R1

@attribute max_freq numeric
@attribute coeff1 numeric
@attribute coeff2 numeric
@attribute coeff3 numeric
@attribute coeff4 numeric
@attribute label {drop,fall,false}

@data
41.022597,41.022597,0.077746,0.227815,0.077746,drop
41.141471,41.141471,0.070211,0.156703,0.070211,drop
41.202913,41.202913,0.317315,0.2176,0.317315,drop
41.312111,41.312111,0.309568,0.309568,0.309568,drop
41.317483,41.317483,0,0,0,drop
40.411355,40.411355,0.462077,0.597151,0.462077,drop
34.175147,34.175147,6.454592,5.706355,6.454592,drop
33.209493,33.209493,7.567852,9.771037,7.567852,drop
40.019805,40.019805,1.592751,1.095009,1.592751,drop
40.456508,40.456508,1.531713,1.531713,1.531713,drop
40.27191,40.27191,0,0,0,drop
37.70453,37.70453,0,0,0,drop
34.226731,34.226731,8.762235,10.290905,8.762235,drop
29.414312,29.414312,5.12422,14.301313,5.12422,drop
36.799693,36.799693,3.114287,3.29004,3.114287,drop
39.705997,39.705997,0.006661,0.006661,0.006661,drop
39.769604,39.769604,0,0,0,drop
39.928281,39.928281,0,0,0,drop
40.182765,40.182765,0,0,0,drop
30.406669,30.406669,8.610061,6.529347,8.610061,drop
28.899918,28.899918,8.630691,3.338395,8.630691,drop
37.61517,37.61517,3.214214,3.355042,3.214214,drop
40.098539,40.098539,1.164907,0.49127,1.164907,drop
41.002746,41.002746,0.668265,0.668265,0.668265,drop
37.712676,37.712676,0,0,0,drop
40.654005,40.654005,0,0,0,drop
25.394359,25.394359,9.436179,1.720164,9.436179,drop
27.425874,27.425874,11.027186,1.315501,11.027186,drop
41.807374,41.807374,1.805687,1.491592,1.805687,drop
40.466177,40.466177,0.211607,0.211607,0.211607,drop
40.489352,40.489352,0,0,0,drop
40.530628,40.530628,0,0,0,drop
39.265749,39.265749,0,0,0,drop
32.921094,32.921094,9.306135,5.459787,9.306135,drop
36.050603,36.050603,6.739945,10.225329,6.739945,drop
40.582512,40.582512,1.162482,1.007875,1.162482,drop
39.458595,39.458595,0.111912,0.111912,0.111912,drop
39.673816,39.673816,0,0,0,drop
39.897045,39.897045,0,0,0,drop
40.046208,40.046208,0,0,0,drop
44.906167,44.906167,19.129077,4.738117,19.129077,drop
47.904155,47.904155,12.045519,7.463019,12.045519,drop
35.873552,35.873552,2.725471,0.565536,2.725471,drop
40.447904,40.447904,0.984734,0.984734,0.984734,drop
40.69737,40.69737,0,0,0,drop
37.032314,37.032314,0,0,0,drop
38.297016,38.297016,0,0,0,drop
29.387571,29.387571,11.865576,8.297657,11.865576,drop
45.124345,45.124345,16.594508,10.271912,16.594508,drop
46.667409,46.667409,12.229843,1.581807,12.229843,drop
30.971058,30.971058,1.155486,1.155486,1.155486,drop
32.923966,32.923966,0,0,0,drop
35.875476,35.875476,0,0,0,drop
40.592449,40.592449,0,0,0,drop
29.250384,29.250384,8.485887,4.308935,8.485887,drop
27.853101,27.853101,8.074304,6.766912,8.074304,drop
38.110598,38.110598,2.104343,2.15888,2.104343,drop
